token,icd_code
483,I35 (nonrheumatic aortic valve disorders)
484,I36 (nonrheumatic tricuspid valve disorders)
485,I37 (pulmonary valve disorders)
486,I39 (endocarditis and heart valve disorders in diseases classified elsewhere)
487,I40 (acute myocarditis)
488,I41 (myocarditis in diseases classified elsewhere)
489,I42 (cardiomyopathy)
490,I43 (cardiomyopathy in diseases classified elsewhere)
491,I44 (atrioventricular and left bundle-branch block)
492,I45 (other conduction disorders)
493,I46 (cardiac arrest)
494,I47 (paroxysmal tachycardia)
495,I48 (atrial fibrillation and flutter)
496,I49 (other cardiac arrhythmias)
497,I50 (heart failure)
498,I51 (complications and ill-defined descriptions of heart disease)
499,I52 (other heart disorders in diseases classified elsewhere)
500,I60 (subarachnoid haemorrhage)
501,I61 (intracerebral haemorrhage)
502,I62 (other nontraumatic intracranial haemorrhage)
503,I63 (cerebral infarction)
504,I67 (other cerebrovascular diseases)
505,I68 (cerebrovascular disorders in diseases classified elsewhere)
506,I69 (sequelae of cerebrovascular disease)
507,I70 (atherosclerosis)
508,I71 (aortic aneurysm and dissection)
509,I72 (other aneurysm)
510,I73 (other peripheral vascular diseases)
511,I74 (arterial embolism and thrombosis)
512,I77 (other disorders of arteries and arterioles)
513,I78 (diseases of capillaries)
514,I80 (phlebitis and thrombophlebitis)
515,I81 (portal vein thrombosis)
516,I82 (other venous embolism and thrombosis)
517,I83 (varicose veins of lower extremities)
518,I84 (haemorrhoids)
519,I85 (oesophageal varices)
520,I86 (varicose veins of other sites)
521,I87 (other disorders of veins)
522,I88 (nonspecific lymphadenitis)
523,I89 (other non-infective disorders of lymphatic vessels and lymph nodes)
524,I95 (hypotension)
525,I98 (other disorders of circulatory system in diseases classified elsewhere)
526,I99 (other and unspecified disorders of circulatory system)
527,J00 (acute nasopharyngitis [common cold])
528,J01 (acute sinusitis)
529,J02 (acute pharyngitis)
530,J03 (acute tonsillitis)
531,J04 (acute laryngitis and tracheitis)
532,J05 (acute obstructive laryngitis [croup] and epiglottitis)
533,J06 (acute upper respiratory infections of multiple and unspecified sites)
534,J09 (influenza due to certain identified influenza virus)
535,J10 (influenza due to identified influenza virus)
536,J13 (pneumonia due to streptococcus pneumoniae)
537,J14 (pneumonia due to haemophilus influenzae)
538,J17 (pneumonia in diseases classified elsewhere)
539,J20 (acute bronchitis)
540,J21 (acute bronchiolitis)
541,J22 (unspecified acute lower respiratory infection)
542,J30 (vasomotor and allergic rhinitis)
543,J32 (chronic sinusitis)
544,J33 (nasal polyp)
545,J34 (other disorders of nose and nasal sinuses)
546,J35 (chronic diseases of tonsils and adenoids)
547,J36 (peritonsillar abscess)
548,J37 (chronic laryngitis and laryngotracheitis)
549,J39 (other diseases of upper respiratory tract)
550,J41 (simple and mucopurulent chronic bronchitis)
551,J42 (unspecified chronic bronchitis)
552,J43 (emphysema)
553,J44 (other chronic obstructive pulmonary disease)
554,J45 (asthma)
555,J46 (status asthmaticus)
556,J47 (bronchiectasis)
557,J60 (coalworker's pneumoconiosis)
558,J61 (pneumoconiosis due to asbestos and other mineral fibres)
559,J62 (pneumoconiosis due to dust containing silica)
560,J63 (pneumoconiosis due to other inorganic dusts)
561,J64 (unspecified pneumoconiosis)
